1	Reykjavik	0.6	0.9375	0.76875
%d1	1/16	Reykjavik	##ocean	%% whale watching happens year round; trips run day and night; Tour operators say there's an 80-95% chance of seeing these magnificent creatures; surfacing often happens right near the boats
%d3	0/4	Reykjavik	##town	%% The largest city in Iceland; parties last for hours into the night; great museums and arts district; an opportunity to sample whale and to indulge in some disgusting sea creatures
%d4	0/8	Reykjavik	##park %% Step off the pavements and explore paradise; Taking a break from culture and civilization is a must for residents
%d4	0/8	Reykjavik	##festival	%% a hotbed of activity with a remarkable number of annual festivals all year round
%d4	0/8	Reykjavik	##other	%% an impressive number of quality restaurants, staffed with award winning chefs; We recommend visitors try out the Icelandic cuisine; be sure to try out the fabulous Icelandic coffee, beer, hotdog and pizza too! 	
%d4	0/8	Reykjavik	##museum	%% Reykjavik has an array of museums and galleries open year-round; displays of national historic treasures; exhibiting contemporary work by local artists; impressive literary heritage
%d4	0/8	Reykjavik	##other 	%% see if you have enough stamina to stay up as long as a local; pubs, clubs and lots of live venues to suit a multitude of different party moods!
%d4	0/8	Reykjavik	##shopping mall	%% famous brands, unique Icelandic design; quirky Icelandic bargains in popular retro/second-hand shops
%d4	0/8	Reykjavik	##other	%% some of the city's best facilities promoting health and wellbeing
%d4	0/8	Reykjavik	##other	%% take a dip in one of Reykjavik's many thermal pools and spas

2	Blue Lagoon	0.4	0.875	0.6375
%d1	2/16	Blue Lagoon	##nature	%% this most iconic of geothermal spas should be at the top of any visitor's must-see list; The water from the underground hot springs reaches 37-39 degrees Celsius and is said to be highly beneficial for both health and skin; there's a shop selling skincare products, a range of spa treatments, and places to eat and drink
%d3	0/4	The Blue Lagoon	##lake	%% a pricey attraction but worth every single penny; bathe in a massive heated pool thats heated naturally; get massaged by a powerful waterfall; clenase your face with the mineral rich silica mud

3	The Northern Lights	0.4	0.75	0.575
%d1	4/16	The Northern Lights	##nature	%% among the most popular visitor attractions in Iceland; the Northern Lights can be seen in most places throughout Iceland from around late September until the beginning of April
%d3	0/4	The Northern Lights	##nature	%% There is nothing in the world like it, definitely a must see in your lifetime; This is an one of the Iceland tourist attractions that cannot be missed.

4	Borgarfjor	0.2	0.9	0.55
%d2	1/10	Borgarfjor	##nature	%% a hiking paradise; the water is crystal clear and the rocks seem to sink into the earth; There are many interesting tracks, up mountains and by the see

5	Geysers	0.2	0.8125	0.50625
%d1	3/16	Spectacular Geysers	##nature	%% Strokkur Geysir (after which all geysers are named) is the most popular fountain geyser in the country and famed throughout the world; Boiling mud pits and around 100 other smaller exploding geysers are waiting to be explored here; Every few minutes, Strokkur shoots water 30 meters into the air; A memorable experience is digging up Geysir or "hot spring" bread; visitors can also help a chef boil eggs in a hot spring to accompany the bread

6	Vopnafjor	0.2	0.8	0.5
