1	Maasai Mara National Reserve	0.6	0.84	0.72
	% d6	1/12	Maasai Mara National Reserve	##game reserve	%%world's most magnificent game reserves; Great Migration; throngs of hippos and crocodiles
	% d7	1/5	Maasai Mara Game Reserve	##game reserve	%%home of the new Seventh Wonder of the World; most visited destination in the country; truly unforgettable journey into the natural world
	% d8	2/10	Wildebeest Migration	##nature	%%captivating event; 1.5 million wildebeests and zebra migrate

2	Wildlife Safari	0.2	0.9	0.55
	% d8	1/10	Wildlife Safari	##nature	%%once in a lifetime experience

3	Amboseli National Reserve	0.4	0.62	0.51
	% d6	2/12	Amboseli National Reserve	##game reserve	%%Africa's highest peak; one of Kenya's most popular tourist parks; view large herds of elephants up close
	% d7	3/5	Amboseli National Park	##national park	%%tranquil atmosphere; unobstructed view of the animals; view of Mount Kilimanjaro

4	Lamu	0.4	0.55	0.48
	% d6	6/12	Lamu	##historic site	%%oozes old world charm; dating back to the 12th century; white sand beaches
	% d8	4/10	Cultural Travel on the Island Lamu	##history	%%fascinating history; one of the oldest inhabited cities in Kenya

4	Tsavo National Park	0.2	0.75	0.48
	% d6	3/12	Tsavo National Park	##national park	%%Kenya's largest park; rivers, waterfalls, savannah, volcanic hills; photo-worthy sightings of large elephant herds

6	East African Coast	0.2	0.7	0.45
	% d8	3/10	East African Coast	##beach	%%pristine stretches of white sand and swaying palms; laid back attitude

7	Samburu, Buffalo Springs, and Shaba National Reserves	0.2	0.66	0.43
	% d6	4/12	Samburu, Buffalo Springs, and Shaba National Reserves	##game reserve	%%made famous in the film "Born Free"; Sarara Singing Wells

8	Mombasa	0.4	0.42	0.41
	% d6	9/12	Mombasa	##city	%%multicultural tourist magnet; many different types of cuisine; Go-Kart, cinemas, sports
	% d7	2/5	Mombasa	##city	%%great place to explore; historical sites; many beautiful beaches 

9	Gedi Ruins	0.2	0.5	0.35
	% d9	0/8	Gedi Ruins	##historic site	%%one of the top tourist attractions; Swahili town; well-informed and educated guide

9	Karen Blixen Museum	0.2	0.5	0.35
	% d9	0/8	Karen Blixen Museum	##museum	%%gained international fame with the release of the movie 'Out of Africa'; Guided tours; museum shop

9	Nairobi National Museum	0.2	0.5	0.35
	% d9	0/8	Nairobi National Museum	##museum	%%flagship museum; history, culture and art from Kenya and East Africa

9	The David Sheldrick Wildlife Trust	0.2	0.5	0.35
	% d9	0/8	The David Sheldrick Wildlife Trust	##nature	%%newborn fully milk dependent African Elephant orphans

9	Giraffe Center	0.2	0.5	0.35
	% d9	0/8	Giraffe Center	##nature	%%environmental education; feed the world's tallest animal

9	Fort Jesus	0.2	0.5	0.35
	% d9	0/8	Fort Jesus	##historic site	%%monumental piece of architecture; museum

